,0
0,S2A_MSIL1C_20160323T003752_N0201_R059_T55LCD_20160323T003830.SAFE
1,S2A_MSIL1C_20160611T004002_N0202_R059_T55LCD_20160611T003959.SAFE
2,S2A_MSIL1C_20160711T003712_N0204_R059_T55LCD_20160711T003708.SAFE
3,S2A_MSIL1C_20160721T004002_N0204_R059_T55LCD_20160721T003959.SAFE
4,S2A_MSIL1C_20160820T003712_N0204_R059_T55LCD_20160820T003707.SAFE
5,S2A_MSIL1C_20160909T003702_N0204_R059_T55LCD_20160909T003702.SAFE
6,S2A_MSIL1C_20170308T003701_N0204_R059_T55LCD_20170308T003657.SAFE
7,S2A_MSIL1C_20170606T004001_N0205_R059_T55LCD_20170606T003957.SAFE
8,S2A_MSIL1C_20170815T003711_N0205_R059_T55LCD_20200906T034214.SAFE
9,S2A_MSIL1C_20170825T004001_N0205_R059_T55LCD_20170825T004028.SAFE
10,S2A_MSIL1C_20170924T003701_N0205_R059_T55LCD_20200716T061324.SAFE
11,S2A_MSIL1C_20180502T003711_N0206_R059_T55LCD_20180502T020555.SAFE
12,S2A_MSIL1C_20180621T003701_N0206_R059_T55LCD_20180621T021244.SAFE
13,S2A_MSIL1C_20180731T003711_N0206_R059_T55LCD_20180731T020636.SAFE
14,S2A_MSIL1C_20180830T003701_N0206_R059_T55LCD_20180830T023750.SAFE
15,S2A_MSIL1C_20180919T003701_N0206_R059_T55LCD_20180919T021041.SAFE
16,S2A_MSIL1C_20180929T003701_N0206_R059_T55LCD_20180929T020742.SAFE
17,S2A_MSIL1C_20190328T003701_N0207_R059_T55LCD_20190328T021928.SAFE
18,S2A_MSIL1C_20190507T003711_N0207_R059_T55LCD_20190507T021037.SAFE
19,S2A_MSIL1C_20190904T003711_N0208_R059_T55LCD_20190904T021106.SAFE
20,S2A_MSIL1C_20190914T003701_N0208_R059_T55LCD_20190914T021159.SAFE
21,S2A_MSIL1C_20200401T003701_N0209_R059_T55LCD_20200401T021440.SAFE
22,S2A_MSIL1C_20200531T003711_N0209_R059_T55LCD_20200531T022759.SAFE
23,S2A_MSIL1C_20200610T003711_N0209_R059_T55LCD_20200610T021551.SAFE
24,S2A_MSIL1C_20200620T003711_N0209_R059_T55LCD_20200620T022428.SAFE
25,S2A_MSIL1C_20210506T003701_N0300_R059_T55LCD_20210506T021805.SAFE
26,S2A_MSIL1C_20210516T003711_N0300_R059_T55LCD_20210516T021600.SAFE
27,S2A_MSIL1C_20210615T003711_N0300_R059_T55LCD_20210615T021122.SAFE
28,S2A_MSIL1C_20210804T003711_N0301_R059_T55LCD_20210804T020408.SAFE
29,S2A_MSIL1C_20210903T003711_N0301_R059_T55LCD_20210903T020602.SAFE
30,S2A_MSIL1C_20220401T003711_N0400_R059_T55LCD_20220401T020527.SAFE
31,S2A_MSIL1C_20220501T003711_N0400_R059_T55LCD_20220501T015902.SAFE
32,S2A_MSIL1C_20220531T003711_N0400_R059_T55LCD_20220531T020831.SAFE
33,S2B_MSIL1C_20170820T003949_N0205_R059_T55LCD_20170820T003952.SAFE
34,S2B_MSIL1C_20170909T003949_N0205_R059_T55LCD_20170909T004019.SAFE
35,S2B_MSIL1C_20180328T003659_N0206_R059_T55LCD_20180328T021112.SAFE
36,S2B_MSIL1C_20180626T003709_N0206_R059_T55LCD_20180626T020750.SAFE
37,S2B_MSIL1C_20180726T003659_N0206_R059_T55LCD_20180726T015544.SAFE
38,S2B_MSIL1C_20180805T003659_N0206_R059_T55LCD_20180805T020021.SAFE
39,S2B_MSIL1C_20180815T003659_N0206_R059_T55LCD_20180815T015519.SAFE
40,S2B_MSIL1C_20180825T003659_N0206_R059_T55LCD_20180825T015544.SAFE
41,S2B_MSIL1C_20180914T003659_N0206_R059_T55LCD_20180914T015453.SAFE
42,S2B_MSIL1C_20180924T003659_N0206_R059_T55LCD_20180924T014805.SAFE
43,S2B_MSIL1C_20190211T003709_N0207_R059_T55LCD_20190211T015427.SAFE
44,S2B_MSIL1C_20190221T003709_N0207_R059_T55LCD_20190221T015412.SAFE
45,S2B_MSIL1C_20190313T003659_N0207_R059_T55LCD_20190313T015709.SAFE
46,S2B_MSIL1C_20190522T003719_N0207_R059_T55LCD_20190522T020028.SAFE
47,S2B_MSIL1C_20190711T003719_N0208_R059_T55LCD_20190711T015355.SAFE
48,S2B_MSIL1C_20190810T003709_N0208_R059_T55LCD_20190810T015403.SAFE
49,S2B_MSIL1C_20190820T003709_N0208_R059_T55LCD_20190820T020119.SAFE
50,S2B_MSIL1C_20190830T003709_N0208_R059_T55LCD_20190830T015354.SAFE
51,S2B_MSIL1C_20190909T003709_N0208_R059_T55LCD_20190909T015354.SAFE
52,S2B_MSIL1C_20190929T003709_N0208_R059_T55LCD_20191002T154900.SAFE
53,S2B_MSIL1C_20200206T003659_N0209_R059_T55LCD_20200206T020450.SAFE
54,S2B_MSIL1C_20200216T003659_N0209_R059_T55LCD_20200216T015255.SAFE
55,S2B_MSIL1C_20200406T003659_N0209_R059_T55LCD_20200406T020319.SAFE
56,S2B_MSIL1C_20200615T003709_N0209_R059_T55LCD_20200615T021023.SAFE
57,S2B_MSIL1C_20200705T003709_N0209_R059_T55LCD_20200705T015602.SAFE
58,S2B_MSIL1C_20200804T003709_N0209_R059_T55LCD_20200804T015708.SAFE
59,S2B_MSIL1C_20210411T003659_N0300_R059_T55LCD_20210411T020228.SAFE
60,S2B_MSIL1C_20210521T003709_N0300_R059_T55LCD_20210521T015909.SAFE
61,S2B_MSIL1C_20210610T003709_N0300_R059_T55LCD_20210610T015727.SAFE
62,S2B_MSIL1C_20210720T003709_N0301_R059_T55LCD_20210720T015358.SAFE
63,S2B_MSIL1C_20210730T003709_N0301_R059_T55LCD_20210730T015036.SAFE
64,S2B_MSIL1C_20210819T003709_N0301_R059_T55LCD_20210819T015155.SAFE
65,S2B_MSIL1C_20220307T003659_N0400_R059_T55LCD_20220307T014948.SAFE
66,S2B_MSIL1C_20220406T003659_N0400_R059_T55LCD_20220406T015555.SAFE
67,S2B_MSIL1C_20220426T003659_N0400_R059_T55LCD_20220426T015210.SAFE
68,S2B_MSIL1C_20220506T003659_N0400_R059_T55LCD_20220506T014756.SAFE
69,S2B_MSIL1C_20220526T003709_N0400_R059_T55LCD_20220526T014302.SAFE
